id,price,sellDate,beds,baths,squareFeet,address
1,777604,"'2006-4-10'",1,5,,
3,995263,"'2008-11-28'",4,4,,
5,777917,"'2007-1-20'",5,5,,
7,226427,"'2006-11-26'",5,6,,
9,104349,"'2005-9-16'",1,1,,
11,700711,"'2009-11-28'",6,6,,
13,389610,"'2009-1-28'",3,4,,
15,450964,"'2008-12-29'",3,3,,
17,330337,"'2005-1-13'",4,5,,
19,594918,"'2009-12-26'",2,1,,
21,525714,"'2004-11-4'",5,1,,
23,231030,"'2009-1-31'",6,1,,
25,693357,"'2005-8-10'",1,5,,
27,266927,"'2009-8-2'",2,1,,
29,659085,"'2007-3-18'",3,2,,
31,344872,"'2006-10-27'",4,2,,
33,977266,"'2005-11-15'",4,6,,
35,559385,"'2009-2-12'",1,4,,
37,734663,"'2006-11-4'",1,5,,
39,831278,"'2009-2-20'",4,3,,
41,603728,"'2009-5-29'",4,4,,
43,378821,"'2007-4-5'",3,5,,
45,719727,"'2004-8-21'",2,6,,
47,821798,"'2010-4-13'",1,3,,
49,524397,"'2007-10-31'",3,1,,
51,464950,"'2009-5-5'",2,3,,
53,667121,"'2005-11-8'",2,3,,
55,607157,"'2007-10-8'",4,5,,
57,671081,"'2007-8-13'",6,1,,
59,121385,"'2008-7-2'",5,2,,
61,278755,"'2008-6-29'",1,5,,
63,258740,"'2005-5-30'",4,3,,
65,813617,"'2009-9-18'",1,2,,
67,866075,"'2006-10-27'",2,1,,
69,477669,"'2008-9-17'",6,6,,
71,427299,"'2005-9-30'",6,6,,
73,313311,"'2010-1-16'",6,6,,
75,244221,"'2009-4-6'",5,3,,
77,902944,"'2007-5-25'",3,2,,
79,419381,"'2008-11-22'",1,2,,
81,704675,"'2009-5-22'",2,5,,
83,356175,"'2009-9-3'",3,6,,
85,750483,"'2007-10-8'",6,3,,
87,619586,"'2006-11-9'",3,6,,
89,815087,"'2008-1-24'",5,3,,
91,674266,"'2009-2-26'",4,3,,
93,941340,"'2008-4-13'",2,3,,
95,646541,"'2007-1-9'",6,3,,
97,471606,"'2007-4-11'",3,6,,
99,823486,"'2010-2-18'",5,3,,
101,486482,"'2004-11-28'",4,1,,
103,548392,"'2005-1-24'",6,3,,
105,503424,"'2009-1-8'",2,3,,
107,473275,"'2004-5-29'",3,1,,
109,997135,"'2005-12-9'",6,4,,
111,401082,"'2007-7-27'",1,4,,
113,370931,"'2005-8-30'",6,1,,
115,113994,"'2007-6-2'",6,3,,
117,185476,"'2009-11-23'",6,6,,
119,138372,"'2006-9-21'",1,3,,
121,394236,"'2009-12-26'",1,6,,
123,415862,"'2009-8-22'",5,3,,
125,609872,"'2009-3-31'",5,5,,
127,141328,"'2004-8-24'",5,3,,
129,490684,"'2008-2-8'",2,3,,
131,355114,"'2008-1-9'",6,1,,
133,228062,"'2008-8-8'",2,3,,
135,808291,"'2006-11-22'",3,6,,
137,235988,"'2004-12-3'",4,2,,
139,480527,"'2007-1-22'",2,2,,
141,753305,"'2009-8-8'",2,4,,
143,745699,"'2008-3-17'",2,1,,
145,988065,"'2005-3-22'",1,5,,
147,884004,"'2007-4-27'",2,6,,
149,382005,"'2007-10-20'",6,3,,
151,205534,"'2008-10-30'",2,2,,
153,223462,"'2007-1-3'",1,6,,
155,477938,"'2010-5-3'",6,1,,
157,245997,"'2006-11-13'",2,6,,
159,805027,"'2007-7-8'",2,1,,
161,503308,"'2006-12-27'",1,4,,
163,105966,"'2006-10-3'",6,1,,
165,390493,"'2010-5-18'",6,2,,
167,609105,"'2004-8-26'",1,2,,
169,250397,"'2010-4-1'",5,6,,
171,491343,"'2004-5-30'",5,4,,
173,918523,"'2007-7-9'",2,1,,
175,644331,"'2004-6-8'",4,6,,
177,978408,"'2005-6-8'",1,5,,
179,396947,"'2004-6-9'",2,2,,
181,303593,"'2010-1-4'",4,2,,
