1,561548,"'2004-8-7'",1,4,,
2,878906,"'2006-4-4'",3,5,,
4,341541,"'2010-1-20'",1,1,,
6,118547,"'2009-12-17'",5,5,,
8,242072,"'2005-10-29'",2,2,,
10,504856,"'2005-10-11'",6,4,,
12,206177,"'2009-11-4'",2,2,,
14,735614,"'2007-2-21'",4,4,,
16,409933,"'2008-11-24'",1,2,,
18,218846,"'2006-6-22'",1,1,,
21,564462,"'2010-3-26'",3,5,,
22,534261,"'2008-6-25'",5,6,,
24,237846,"'2005-9-11'",1,5,,
26,834386,"'2007-12-19'",3,3,,
28,972363,"'2006-7-16'",3,2,,
30,855755,"'2007-1-22'",2,5,,
32,995715,"'2007-2-3'",1,5,,
34,354058,"'2009-12-29'",4,3,,
36,783172,"'2005-4-8'",5,6,,
38,671571,"'2005-11-2'",3,5,,
41,562915,"'2007-10-14'",4,4,,
42,613534,"'2007-7-20'",4,5,,
44,183185,"'2007-5-8'",5,5,,
46,995486,"'2007-10-8'",3,2,,
48,604107,"'2004-7-28'",1,2,,
50,107376,"'2008-3-12'",5,4,,
52,131261,"'2005-9-11'",6,2,,
54,320507,"'2005-11-10'",5,6,,
56,934625,"'2009-10-5'",5,1,,
58,802511,"'2005-5-14'",5,5,,
61,617022,"'2004-9-22'",3,5,,
62,700369,"'2009-8-29'",2,6,,
64,325686,"'2005-3-11'",5,5,,
66,927605,"'2009-2-27'",5,6,,
68,563962,"'2007-11-8'",3,2,,
70,819253,"'2006-3-16'",4,3,,
72,432784,"'2005-4-3'",6,4,,
74,714803,"'2006-3-24'",1,3,,
76,500178,"'2008-5-1'",3,5,,
78,161152,"'2008-12-4'",5,3,,
81,229646,"'2006-3-16'",3,5,,
82,883894,"'2009-12-24'",3,5,,
84,888313,"'2008-7-28'",2,1,,
86,370475,"'2007-2-13'",1,1,,
88,238623,"'2007-8-28'",4,4,,
90,152200,"'2009-8-30'",2,2,,
92,850894,"'2007-2-2'",4,1,,
94,999589,"'2006-11-24'",4,5,,
96,570937,"'2010-4-28'",6,1,,
98,368013,"'2007-12-21'",6,3,,
101,780953,"'2007-8-6'",5,3,,
102,431774,"'2010-2-27'",3,6,,
104,112308,"'2009-7-14'",5,2,,
106,170943,"'2007-6-15'",5,2,,
108,866079,"'2007-7-19'",1,4,,
110,438851,"'2007-11-9'",5,2,,
112,431676,"'2007-4-6'",2,3,,
114,994073,"'2005-12-17'",1,6,,
116,326667,"'2007-8-7'",1,5,,
118,779946,"'2005-4-19'",4,5,,
121,159844,"'2006-6-27'",6,4,,
122,787346,"'2009-10-7'",1,4,,
124,365157,"'2007-8-2'",4,3,,
126,171948,"'2004-6-2'",1,3,,
128,678651,"'2006-12-2'",5,3,,
130,194690,"'2007-8-7'",3,4,,
132,411114,"'2008-2-9'",6,1,,
134,665221,"'2010-4-3'",3,2,,
136,724268,"'2006-11-14'",3,2,,
138,574931,"'2005-9-18'",6,5,,
141,362519,"'2010-3-21'",2,5,,
142,940425,"'2005-4-11'",2,6,,
144,939626,"'2008-1-7'",4,6,,
146,327321,"'2004-10-12'",4,2,,
148,844464,"'2006-1-16'",3,2,,
150,938616,"'2008-4-29'",5,3,,
152,741251,"'2006-10-14'",3,2,,
154,693923,"'2005-9-29'",1,4,,
156,665820,"'2005-10-14'",5,6,,
158,125289,"'2004-8-5'",2,5,,
161,394763,"'2007-6-6'",4,5,,
162,101905,"'2009-4-1'",1,2,,
164,886074,"'2005-3-17'",1,2,,
166,307456,"'2006-5-23'",5,2,,
168,525751,"'2008-1-23'",3,4,,
170,652774,"'2006-5-26'",6,5,,
172,688826,"'2009-6-23'",3,6,,
174,552934,"'2009-3-3'",4,2,,
176,811769,"'2007-5-8'",1,2,,
178,280193,"'2009-3-5'",1,4,,
181,619160,"'2007-5-17'",1,1,,
182,238191,"'2009-3-25'",1,2,,
184,397494,"'2006-3-17'",6,5,,
186,284540,"'2008-12-24'",4,3,,
188,119890,"'2008-11-4'",2,2,,
190,256274,"'2010-1-18'",3,3,,
192,897845,"'2009-2-9'",1,1,,
194,709808,"'2004-12-23'",2,2,,
196,620093,"'2008-10-2'",2,2,,
198,604762,"'2004-10-21'",2,2,,
201,195405,"'2004-12-8'",3,2,,
202,779038,"'2006-6-16'",3,4,,
204,591405,"'2006-10-5'",3,2,,
206,441827,"'2004-8-13'",5,1,,
208,628262,"'2009-12-8'",4,4,,
210,389131,"'2007-11-30'",3,6,,
212,190241,"'2007-9-5'",3,1,,
214,559227,"'2009-12-16'",1,3,,
216,875995,"'2004-6-12'",1,3,,
218,135445,"'2010-1-29'",6,5,,
221,491207,"'2009-1-23'",6,1,,
222,595859,"'2010-5-19'",6,6,,
224,786022,"'2007-5-26'",5,6,,
226,384584,"'2009-3-23'",5,1,,
228,773940,"'2010-4-24'",2,4,,
230,155545,"'2008-3-18'",4,1,,
232,294073,"'2005-1-17'",4,2,,
234,398184,"'2006-3-13'",6,5,,
236,747585,"'2006-8-4'",6,4,,
238,186317,"'2009-12-7'",2,4,,
241,138529,"'2004-7-16'",6,2,,
242,403258,"'2007-2-28'",2,5,,
244,508573,"'2006-1-4'",1,3,,
246,945311,"'2005-6-15'",3,5,,
248,458294,"'2008-3-25'",1,5,,
250,564156,"'2007-4-26'",4,5,,
252,541674,"'2008-2-15'",6,4,,
254,967514,"'2009-4-11'",3,1,,
256,630432,"'2005-5-3'",5,2,,
258,606117,"'2008-5-23'",1,4,,
261,250199,"'2009-10-14'",1,6,,
262,363021,"'2007-2-27'",3,1,,
264,700723,"'2009-5-16'",3,6,,
266,656756,"'2007-7-26'",1,4,,
268,548807,"'2009-11-14'",5,2,,
270,852214,"'2008-12-20'",4,1,,
272,236235,"'2004-11-8'",1,6,,
274,708130,"'2007-2-27'",5,4,,
276,926433,"'2008-2-11'",2,6,,
278,984814,"'2007-8-31'",5,5,,
281,275739,"'2005-8-17'",1,3,,
